Trade Date,Bear,Bull,f_o2c_change
2021-08-11,5581.146,7297.064667,
2021-08-12,5295.987333,7777.822667,
2021-08-13,4810.027333,7906.604,
2021-08-16,4857.003333,8158.388,
2021-08-17,4626.334667,8182.484667,
2021-08-18,5501.886,7846.000667,
2021-08-19,4871.17,7814.402667,
2021-08-20,4088.105333,8517.360667,
