Date,net_sse,net_szse,net_southbound,net_southbound_cum,net_southbound_mean,hsi
2021-08-11,1881.4,2357.33,4238.73,257706.39,3923.576667,26660.16016
2021-08-12,-656.67,1277.43,620.76,258327.15,3185.543333,26517.82031
2021-08-13,-980.2,-1671.05,-2651.25,255675.9,736.08,26391.61914
2021-08-16,-4474.91,-3222,-7696.91,247978.99,-3242.466667,26181.46094
2021-08-17,-2305.41,-1240.87,-3546.28,244432.71,-4631.48,25745.86914
2021-08-18,154.16,-921.04,-766.88,243665.83,-4003.356667,25867.00977
2021-08-19,-4323.33,-4713.02,-9036.35,234629.48,-4449.836667,25316.33008
2021-08-20,-1231.05,-509.91,-1740.96,232888.52,-3848.063333,24849.7207
